@RELATION api/public/arff/genre_classification.arff 

@ATTRIBUTE speechiness numeric 
@ATTRIBUTE acousticness numeric 
@ATTRIBUTE instrumentalness numeric 
@ATTRIBUTE liveness numeric 
@ATTRIBUTE valence numeric 
@ATTRIBUTE duration_ms numeric 
@ATTRIBUTE tempo numeric 
@ATTRIBUTE time_signature {0,1,2,3,4,5} 
@ATTRIBUTE mode {0,1} 
@ATTRIBUTE key {0,1,2,3,4,5,6,7,8,9,10,11} 
@ATTRIBUTE loudness numeric 
@ATTRIBUTE danceability numeric 
@ATTRIBUTE energy numeric 
@ATTRIBUTE genre {1,2,3} 

@DATA 
0.0493, 0.021, 0.00267, 0.151, 0.821, 236000, 99.938, 4, 0, 9, -9.516, 0.854, 0.499, 3 
0.265, 0.00763, 0.00536, 0.101, 0.618, 289907, 94.993, 4, 1, 0, -7.805, 0.803, 0.806, 3 
0.28, 0.145, 0, 0.287, 0.67, 229827, 93.941, 4, 1, 9, -3.439, 0.901, 0.697, 3 
0.083, 0.0135, 0.0316, 0.06, 0.558, 253000, 108.989, 4, 1, 1, -4.472, 0.807, 0.741, 3 
0.252, 0.0183, 0, 0.0814, 0.701, 261267, 89.977, 4, 1, 6, -3.781, 0.746, 0.831, 3 
0.0318, 0.484, 0, 0.0482, 0.388, 264773, 117.907, 4, 0, 9, -9.449, 0.699, 0.492, 3 
0.0912, 0.0445, 0, 0.237, 0.577, 297560, 103.33, 4, 1, 7, -4.397, 0.91, 0.661, 3 
0.404, 0.00942, 0, 0.258, 0.673, 220107, 81.852, 4, 1, 2, -9.286, 0.757, 0.75, 3 
0.196, 0.412, 0.000164, 0.0838, 0.623, 357200, 92.722, 4, 1, 0, -10.958, 0.898, 0.409, 3 
0.0598, 0.174, 0.048, 0.136, 0.733, 263920, 105.805, 4, 0, 7, -7.822, 0.815, 0.875, 3 
0.253, 0.11, 0, 0.0754, 0.82, 242360, 95.443, 4, 0, 10, -7.68, 0.818, 0.655, 3 
0.0264, 0.102, 0.00000182, 0.104, 0.268, 244507, 98.259, 4, 1, 0, -10.315, 0.573, 0.487, 3 
0.0243, 0.445, 0, 0.127, 0.253, 227907, 105.068, 4, 1, 7, -8.902, 0.678, 0.421, 3 
0.0283, 0.0000501, 0.858, 0.0745, 0.803, 225933, 123.577, 4, 0, 3, -10.884, 0.671, 0.733, 3 
0.0537, 0.0162, 0, 0.132, 0.755, 254600, 91.887, 4, 1, 6, -6.177, 0.64, 0.78, 3 
0.0274, 0.288, 0, 0.0692, 0.29, 257200, 120.084, 4, 1, 1, -7.632, 0.715, 0.398, 3 
0.164, 0.188, 0.00015, 0.0956, 0.363, 334267, 126.043, 4, 0, 8, -6.932, 0.843, 0.371, 3 
0.0313, 0.243, 0, 0.134, 0.368, 294867, 123.208, 4, 0, 0, -7.981, 0.652, 0.473, 3 
0.0317, 0.0805, 0.0299, 0.131, 0.778, 346133, 96.038, 4, 1, 0, -10.48, 0.753, 0.471, 3 
0.374, 0.0317, 0, 0.0348, 0.801, 265533, 169.85, 5, 0, 6, -10.742, 0.714, 0.592, 3 
0.0625, 0.468, 0, 0.126, 0.802, 216693, 100.071, 4, 1, 6, -7.775, 0.627, 0.768, 3 
0.173, 0.0511, 0, 0.193, 0.651, 220933, 91.845, 4, 1, 0, -8.83, 0.837, 0.517, 3 
0.365, 0.0215, 0.0000132, 0.0479, 0.709, 282493, 89.7, 4, 0, 6, -8.348, 0.824, 0.705, 3 
0.0554, 0.585, 0.00234, 0.102, 0.819, 240747, 78.502, 4, 1, 4, -9.776, 0.741, 0.396, 3 
0.0325, 0.391, 0.00000219, 0.0682, 0.535, 264960, 108.262, 4, 0, 10, -6.918, 0.71, 0.312, 3 
0.0738, 0.0247, 0, 0.0932, 0.353, 212637, 139.959, 4, 0, 4, -6.582, 0.721, 0.579, 3 
0.0468, 0.522, 0, 0.057, 0.895, 304360, 81.729, 4, 0, 8, -6.096, 0.769, 0.534, 3 
0.0401, 0.0179, 0.00189, 0.0345, 0.8, 261827, 90.051, 4, 0, 6, -8.428, 0.818, 0.401, 3 
0.0619, 0.147, 0.00108, 0.0952, 0.341, 386612, 130.006, 4, 0, 8, -11.867, 0.64, 0.427, 3 
0.0735, 0.0126, 0, 0.95, 0.61, 248360, 103.371, 4, 0, 5, -4.718, 0.48, 0.941, 3 
0.0459, 0.00622, 0.000413, 0.326, 0.818, 304800, 88.837, 4, 0, 10, -10.175, 0.504, 0.784, 3 
0.0822, 0.00823, 0.861, 0.0731, 0.961, 308773, 109.998, 4, 1, 7, -10.158, 0.942, 0.362, 3 
0.417, 0.0156, 0, 0.324, 0.474, 178600, 105.933, 4, 0, 11, -9.161, 0.873, 0.597, 3 
0.0366, 0.604, 0, 0.16, 0.22, 195693, 127.77, 4, 0, 5, -9.949, 0.537, 0.413, 3 
0.0657, 0.0645, 0.0000191, 0.56, 0.657, 301973, 84.787, 4, 0, 4, -5.43, 0.584, 0.827, 3 
0.0318, 0.39, 0, 0.143, 0.423, 264600, 109.906, 4, 0, 0, -8.868, 0.651, 0.498, 3 
0.25, 0.0057, 0.0000569, 0.123, 0.646, 191533, 98.93, 4, 1, 1, -8.694, 0.87, 0.618, 3 
0.0423, 0.01, 0, 0.116, 0.728, 252760, 114.962, 4, 1, 5, -5.068, 0.702, 0.923, 3 
0.134, 0.338, 0.00000129, 0.122, 0.848, 299680, 91.082, 4, 0, 7, -7.348, 0.792, 0.627, 3 
0.029, 0.02, 0.000721, 0.0481, 0.919, 208267, 96.983, 4, 1, 11, -4.763, 0.784, 0.777, 3 
0.183, 0.0283, 0.0000694, 0.238, 0.443, 290640, 88.332, 4, 0, 4, -8.474, 0.823, 0.55, 3 
0.251, 0.278, 0.000119, 0.109, 0.766, 275640, 88.87, 4, 0, 11, -6.77, 0.827, 0.635, 3 
0.0481, 0.0346, 0.00000704, 0.143, 0.711, 245000, 90.011, 4, 1, 1, -9.01, 0.724, 0.603, 3 
0.0945, 0.787, 0, 0.33, 0.812, 320813, 175.596, 4, 0, 10, -8.435, 0.251, 0.692, 3 
0.0285, 0.149, 0.00000338, 0.0577, 0.87, 249173, 113.009, 4, 0, 11, -8.013, 0.818, 0.773, 3 
0.259, 0.000304, 0, 0.101, 0.493, 258427, 170.105, 4, 1, 1, -10.548, 0.493, 0.579, 3 
0.171, 0.0104, 0.000445, 0.301, 0.454, 310800, 91.176, 4, 1, 3, -7.708, 0.758, 0.56, 3 
0.0483, 0.0303, 0, 0.296, 0.452, 285680, 135.793, 4, 0, 8, -5.519, 0.725, 0.634, 3 
0.0264, 0.0141, 0.000003, 0.0966, 0.289, 315093, 80.912, 4, 0, 4, -8.121, 0.636, 0.555, 3 
0.0459, 0.15, 0.0000112, 0.159, 0.822, 264867, 87.001, 4, 0, 11, -4.862, 0.738, 0.762, 3 
0.35, 0.41, 0.0000882, 0.168, 0.458, 282013, 92.007, 4, 0, 10, -11.308, 0.743, 0.321, 3 
0.0597, 0.0468, 0.000125, 0.14, 0.597, 259800, 144.043, 4, 0, 10, -5.898, 0.775, 0.598, 3 
0.17, 0.174, 0.000142, 0.293, 0.877, 354093, 179.939, 4, 1, 9, -6.831, 0.743, 0.526, 3 
0.274, 0.316, 0, 0.166, 0.707, 212680, 94.006, 4, 1, 8, -12.619, 0.886, 0.447, 3 
0.08, 0.173, 0.00000123, 0.0504, 0.853, 247933, 83.932, 4, 0, 7, -12.592, 0.773, 0.44, 3 
